id,question,answer
3238,Who originally obtained the C2C12 cell line from the Weizmann Institute of Science in Israel?,Yaffe and Saxel
3239,What is the name of the song that Kelly Clarkson wrote after her third album?,Sober
3240,What nationality was the singer of Tristesse de la Lune?,German
3241,What is the largest Korean family name?,Kang
3242,What was the 2007 W-League season's ranking?,13th
3243,What is a feminine given name?,Barbara
3244,"It is found on two islands, what are the names of the two islands?",Umnak and Unalaska
3245,Who wrote an advice column for The Sexual Intellectual?,Eugene Eyestones
3246,How many official matches did Juanito participate in?,294
3247,How many people live in Mali?,53.5 million
3248,In which Italian region is Campobasso located?,Molise
3249,Who is the son of composer Anil Mohile?,Mohile Amar Mohile
3250,How many teams competed in the 1990–91 Rugby Football League season?,14
3251,When was A Braxas Pool released?,1997
3252,What is the name of the Fort Yukon station that broadcasts from Fort Yukon?,KZPA
3253,What is the station that broadcasts from High Falls Studios in downtown Rochester?,WPXY
3254,What does the Hutzot Hayotzer Meanwhile mean?,the potter's section
3255,Who is known to have used malachite?,Heinrich Gustav Magnus
3256,What was Erwin Evans Smith's occupation?,photographer
3257,How many subtypes of Lepidoki exist?,2
3258,When was the last time the National Register of Historic Places was updated?,"March 5, 2021"
3259,What is the name of the road that runs along the axis of Beijing?,South Zhongzhou Road
3260,How is the tuition fee calculated?,cost per student x number of children enrolled with the school
3261,Which medalist did Ingo Steuer win?,bronze
3262,What is the name of the pied-crested tit-tyrant?,Anairetes reguloides
3263,How many seats are in the legislature?,9
3264,How many Winter Olympics did Tomass Dukurs compete in?,3
3265,Where do the Bearkats play their home games?,Bowers Stadium
3266,"Who wrote the song ""All Summer Long""?",Brian Wilson and Mike Love
3267,What district is Trone the U.S. Representative for?,6th congressional district
3268,What is the typical time of moths feeding on poplar?,from May to mid-July
3269,The A525 is a major route from where in Wales?,Rhyl
3270,Who wrote the book Kidnapped?,Robert Louis Stevenson
3271,Which German canoeist paddled from Germany to Australia?,Oskar Speck
3272,"What does the name ""Palaeoctonus"" mean?",ancient archosaur
3273,Which gene encodes a substance called calcium chloride transport protein?,SLC4A7
3274,When was the story first published?,1923
3275,What is the name of the football team in Panama?,Panama U-17
3276,Who was the first wife of Ratan Sen?,Nagmati
3277,"What is the name of the historical house in Camden, Arkansas?",McCollum-Chidester House
3278,What is the size of the shopping center in Halifax?,"641,585 square feet"
3279,"Who starred in the film, Happily?",Yasho Sagar and Sneha Ullal
3280,What is the population of Howard Township?,6207
3281,What is the name of the historical society in West Chester that hosts its meetings?,Chester County Historical Society
3282,What is non-Western that influenced by classical forms of Western music as well as non-Western music or culture?,"classical Celtic music, Central European folk music, or Latin American music instead"
3283,What is the population of Medina?,308
3284,When was a school in the village reported to be complete?,2004
3285,Where was the 2020 World Women's Curling Championship supposed to be held?,"the CN Centre in Prince George, Canada"
3286,"Who wrote the song ""The Magic Song""?","Al Hoffman, Mack David, and Jerry Livingston"
3287,Who designed the Lord Clyde-class ironclads?,Sir Edward Reed
3288,What did Tycho Brahe observe during his time with the astronomer? ,comets and similar objects travel above the Earth's atmosphere
3289,How far is the nearest town to Koduru?,70 km (43 mi)
3290,What is the scientific name for the species?,Chlorozancla
3291,What was the name of the ship that was a container ship?,Dalstroy
3292,"In the film Capote, who did Futterman portray?",Frances McDormand
3293,What year is he venerated by the Eastern Orthodox Churches?,18 January
3294,When did the New Zealand women's cricket team play the New Zealand women's cricket team?,March 2018
3295,What was the date that the Constitution of Estonia was adopted?,15 June 1920
3296,What does Oregon Hill offer access to?,Hollywood Cemetery
3297,What author's work is 'Fear Is the Key' regarded as?,Alistair MacLean
3298,What was the name of the vinyl re-release of Man or Astro-man?,Transmission from Venus
3299,What was the population of the district in 1991?,1281
3300,How are members of the LDS Church classified?,active
3301,"What is the name of the gay health center in Washington, D.C.?",Whitman-Walker Health
3302,What is the name of an obstetric journal?,The Journal of Obstetrics and Gynaecology
3303,What is the name of the first hard rock album to reach No. 1 on the UK Chart?,Minnena
3304,What movie did Jennifer Thanisch star in?,The Border
3305,Who wrote Political Non-fiction book?,Lal Babu Pandit
3306,What was the name of the film it was based on?,The Abbot Constantine
3307,What was the goal of the Learning and Sustainable Development Foundation?,provide grants and scholarships to students who meet the required educational criteria
3308,What is the most common site of infection in osteosarcoma?,lateral lower extremity
3309,What was the name of the other single from the album?,The Other Side
3310,What company made the video game Fire King?,Strategic Studies Group
3311,How many consecutive NHL championships did the Flyers win after being acquired in a trade?,3
3312,What is the name of the journal published by Wiley-Blackwell?,The European Journal of Cancer Care
3313,What is the name of the parks theme?,Star Wars: Galaxy's Edge
3314,What do hunters use deer to find?,ideal locations for hunting
3315,Who was the 1933 PGA Championship champion?,Olin Dutra
3316,What is the purpose of a numerical method?,to solve numerical problems
3317,What is the name of the standardized protocol used by Microsoft for connecting to a computer over a network?,Remote Desktop Protocol
3318,What was the name of the film that was released in 1914?,"The Lion, the Lamb, the Man"
3319,When did the band break up?,1979
3320,Who introduced the p-adic field?,James Ax and Simon B. Kochen
3321,What was the name of the group that created the movie Superheroes?,Filmation
3322,How many cinder cones are found in the cinder cone?,30
3323,How much of the Croatian population uses the internet,"an estimated 74.2 % of the Croatian population was using the Internet from home, work, and school"
3324,What was the name of the US Navy destroyer escort that was named for Lieutenant Robert W. Gunason?,USS Gunason
3325,When did Ann Dusenberry star in her first film?,1983
3326,How many troops does the air force consist of?,"10,000 to 15,000"
3327,What organization organized the 1983 Copa Fraternidad?,UNCAF
3328,When was Avi Dixit born?,25 April 1999
3329,What was the name of the famous aviator and pilot that was killed in the crash?,Ed Musick
3330,"During what time period did Mesoamerican art use the ""step fret""?",pre-Columbian
3331,What was the name of the Northern Wei vassal?,Tuoba Gui
3332,What kind of elevation does the tree typically grow in?,rocky
3333,The results showed that the Congress had not changed the status of what?,the Chief Minister of Tamil Nadu
3334,Who is Mary from Dungloe?,Donegal stonemason Pádraig Mac Cumhaill
3335,How many consecutive elections did Gordon Francis Stirling win?,fifth
3336,How many economically viable neighborhoods does New York City have?,5
3337,What type of skink is found in parts of tropical Asia?,white-spotted supple skink
3338,"Anatomically, what is the extensor retinaculum located on?",the back of the forearm
3339,Who is responsible for overseeing all public schools in the Marshall Islands?,"Ministry of the Education, or the MOE"
3340,What is the most common type of building in the district?,apartment blocks
3341,"What did Takao Furuno study at the University of California, Los Angeles?",law
3342,What was the name of the non-departmental public body that was funded by the Department for Education?,Becta
3343,Who was the speaker for the Saskatchewan legislature in 1907?,James Trimble
3344,What was the name of the automobile manufacturer in Lyon?,Castoldi
3345,When was the film Ridiculous 6 released?,2015
3346,Who did Spain defeat in the 2008 Men's EuroHockey Junior Championship?,the Netherlands
3347,How does sysfs function in relation to kernel?,as a virtual file system
3348,How many times has Stirrat been a member of the Scotland team?,3
3349,What nationality is Daniel Liw?,Swedish
3350,Where did the men's tournaments take place in 2003?,Montreal
3351,What is the name of the only community in Virginia to have a resident Native American?,East Stonehouse
3352,What does the Indomalayan word mean?,town
3353,"How many athletes from the United Kingdom, Ireland, Canada, Australia and New Zealand competed in the sprint event?",6
3354,Who was the designer of Star?,Ea Ea
3355,What year was Korkmaz Yiğit born?,1943
3356,What was the motto of the Royal Order of the Lion?,Travail et progrès
3357,When was the Celier XeWing designed?,2009
3358,Origen believed that each human soul was created by whom?,God
3359,Where is the Golden Gate Bridge located?,southeastern United States
3360,What famous air force observatory has a view on Bocche di Bonifacio and La Maddalena?,Punta Sardegna
3361,What is the only road accessible to the fortress within the fortress?,narrow climb that leads to the tower
3362,How much is the ultra-fast broadband project worth?,NZ$1.5 billion
3363,Who did the Chicago Cubs trade to the Phillies for Bill Nicholson?,Harry Walker
3364,With which teams did Thomas Stewart Lonsdale play?,"St Helens, Wolverhampton Wanderers, East Fremantle and St Helens"
3365,How is the Daniel Morse III House located?,"210 Farm Road in Sherborn, Massachusetts"
3366,What was the name of the magazine typically published in the United States from the mid-19th century to the mid-20th century?,Boys' Own
3367,What was the name of the shipping magnate that sold its share of Iceland's cruise line to another shipping company?,Tryggvud
3368,Where did Bonnie Tyler tour with?,Silhouette in Red Tour
3369,Who was the main scribe of the Red Book of Hergest?,Hywel Fychan
3370,"What was Fun House or ""Jack Mix""?",seriously malicious ride
3371,What is the fastest computer in the world according to the Top 500 list?,Graham
3372,For what nationality is Giovanni Morabito Italian born?,Italian
3373,What was the nationality of James Donald Wallace?,American
3374,What has increased in the number of sports?,mass media
3375,How many towns are in the Otan Ayegbaju local government area?,4
3376,What does the NAOPV provide prisoners?,training and support
3377,What was the main road from Tilmanstone to London called?,"the ""Yellow line"""
3378,What is the name of the main settlement within the city?,Big Bar
3379,Where were the Capuchin Poor Clares founded?,"Naples, Italy"
3380,How many caps has Kiely had?,11
3381,When did Mason start rhythmic gymnastics in Australia?,1996
3382,How many men did the jury fail to reach a verdict on Yahya's death sentence?,6
3383,How many pairs of lower incisors do moles have?,one
3384,"What was suggested that the phrase ""trip the light fantastic"" was overused?",West Virginia school journal
3385,What are some of the locomotives that were operated by the Tasmanian Government Railways?,"Minehead, Baddeck and Yeovil"
3386,What was the name of the crossing in Pisidia?,Via Augusta
3387,What was the profession of Gretchen Sibley?,science educator
3388,What was the name of the short silent film that was part of the production?,The Good Business Deal
3389,What political party does he belong to?,Indian National Congress
3390,What is the name of the second album that Madonna released?,All About You
3391,What was the first football team in Connecticut?,The Central Connecticut Blue Devils
3392,What book is written by Ellen Hopkins and published in 2004?,Crank
3393,Which town is Krishnan born in?,Parappanangadi
3394,What Ole Mortensen was the first scientifically known freshwater fish?,Calocidaris micans
3395,How many consecutive bowl games did the Diablos win?,4
3396,Which figure skater was disqualified for having an incongruent disqualification in 2002?,Marika Trott.com
3397,What is the name given to the range of Nokia's mobile Internet appliances products?,Nokia Internet Tablets
3398,When was Surrounded released?,"February 23, 2018"
3399,What is the title of Simon's historical work he wrote?,Verus Israel
3400,What was the worst effect of Clausewitz's views?,The worst effect of Clausewitz's views came through his metaphysical exposition of the idea of 'absolute' warfare
3401,When was the Corff Gweddilliol Cymru established?,1907
3402,What is the major airport in Tampa?,Tampa International
3403,Who won the 1995 WAFU Club Championship?,Nigeria's Bendel Insurance
3404,The decomposition of time series is a statistical task that deconstructs what into several components?,time series
3405,How many World Series championships did Arthur Herring win?,35
3406,What is the third largest trade union in Quebec?,Centrale des syndicats du Québec
3407,When was the Battlefleet Gothic: Armada released?,"November 22, 2004"
3408,What was the birth date of Praga Khan?,7 January 1959
3409,What does the 25th Mechanised Infantry Regiment represent?,"the Argentine Army based at Sarmiento, Chubut, Argentina"
3410,What is the HPCSA?,statutory regulator of healthcare professions in South Africa
3411,Who is the President of the Assembly of European Regions?,Michèle Sabban
3412,Who wrote the Novel for younger audiences?,Michael Kelly
3413,What did King Alexander Ramsay do that made him famous?,prowess in battle
3414,How many terms did Mary Lazich serve in the Wisconsin State Assembly?,five years
3415,Who is considered Asia's foremost authority in marketing?,Eduardo L. Roberto or Ned Roberto
3416,"What is the discipline that studies the wax, lead, clay, and other seals used to authenticate archival documents?",Sigillography
3417,Where is the St. Louis marketing agency located?,"St. Louis, Missouri"
3418,When did Xandria cease to be a Xandria company?,2016
3419,Who wrote the sonata form for the clarinet?,Brahms
3420,What is the name of the biometric project that seeks to make improvements in the human image?,Multiple Biometric Grand Challenge
3421,What organization oversees the football team in South Africa?,SAFA
3422,Who is the current prime minister of Morocco?,Saadeddine Othmani
3423,What island is Saint-Germain-de-la-Coudre located on?,Gibraltar
3424,Who is the famous voice actress in English dubbing?,Kira Vincent-Davis
3425,What year was The Charming Deceiver made?,1933
3426,When was Marcus Fraser born?,26 July 1978
3427,What is the third largest satellite of Saturn?,Iapetus
3428,Which artist of the Royal Navy painted the ships modeled after?,Joseph Marshall
3429,Which cricket club did David Miller join?,Australian
3430,How much does the Surface Go 2 sell for now?,$399.99
3431,What is the profession of Richard Capote?,professor of civil and environmental engineering
3432,What is the largest river in Romania?,Sebiș
3433,What kind of wood is a member of the genus Chloroxylon?,desired for their wood as high quality tropical timber and heavily exploited
3434,What is the name of the character played by Cathy Podewell in Dallas?,Cally
3435,What was the name of the German miniaturized satellite for communication?,Tubsat-N
3436,What is a monarchy called that may be officially a coat of arms?,The royal arms
3437,What is the population of the city of Coachella in 2010?,40704
3438,What type of tree is the Sterculia africana?,deciduous
3439,How many housing units were there in Coles County in 2010?,2285
3440,"What is the name of the school in University City, Missouri?",Yeshivat Kadimah High School
3441,Who directed Spaghetti Western?,Luigi Batzella
3442,What is the cytogenetic location of the gene?,11p13
3443,What is the name of the song that was the most viewed video on the LazyTown YouTube channel?,We Are Number One
3444,What is the tree named after?,Acacia plectocarpa
3445,Who was the count of several counties?,Conrad I the Elder
3446,What is the defensive color of the coophor?,black
3447,What is the largest stadium in the Rio Grande Valley?,Memorial Stadium
3448,What is the main function of a civic association?,maintain a local group of neighbors
3449,What city is Santa Cruz Biotechnology located in?,Dallas
3450,What kind of tile roof was in The Boxley Abbey Barn?,gable
3451,What is the largest fishing species in the genus?,Atlantirivulus
3452,When did the Samarkand-Bukhara high-speed rail line open?,2016
3453,What is the goal of the drug war?,neutralization of illegal drug personalities nationwide
3454,How many people lived in the Bypass in 2014?,1401
3455,How many people left the city for Atlanta in 2000?,627
3456,What is the name of the software that allows to model financial contracts?,Fairmat
3457,What is the largest and finest natural port in the Micronesian region?,The Bay of Nabunturan
3458,What is the name of the Yogyakarta newspaper?,Kedaulatan Rakyat
3459,Where did the 2015 Balkan Athletics Indoor Championships take place?,"Istanbul, Turkey"
3460,What was the name of the American national concert tour founded on the Bamboozle Festival?,The Bamboozle Road Show
3461,What does the Clausen German war cemetery contain?,remains from World War I and World War II
3462,How tall is the hemerocoete?,between 10 and 25 centimetres (3.9 and 9.8 in)
3463,What bridge was constructed by the Romans?,the Bridge of Gemarrin
3464,In what locality is the Aotea Harbour located?,Raglan Harbour
3465,What does Zohra Aziza Baccouche specialize in?,science
3466,What was the name of the political party led by David Galiambo?,National Convention
3467,How many languages has Gaelle Josse written?,4
3468,What is the name of the park that runs along the Jordan River?,The Jordan River Parkway
3469,What does the University of Cambridge use for the title of professor?,doctor who taught in the university
3470,Which legislative body is overseen by the President of South Africa?,the National Assembly
3471,What does the tower of the church point at?,the direction from Torpoint to Edinburgh
3472,"What was the name of the original, uncut film that starred Stacy Keach?",More Than Murder
3473,"What Latin word is ""upside-down appearance"" a tree epithet?",resupinatum
3474,In what city is Strato AG located?,Berlin
3475,What was the name of Beyoncé's 1995 single?,"""Nobody Lives Without Love"""
3476,How long is the Tokyo to Mitsubishi Interchange?,106.5 km
3477,What is the name of the fifth album by Natalie Merchant?,Your Sleep
3478,What is the Georgian route S1 also known as?,Tbilisi-Senaki-Leselidze
3479,What is the name of the largest music company in Germany?,Karl Sauter Pianofortemanufaktur GmbH & Co KG
3480,What was the name of the 2014 Marathi film?,Sanngto Aika
3481,Who was hired to coach the Arkansas football team in 1912?,Hugo Bezdek
3482,How many subspecies does Lacinipolia stenotis have?,10382
3483,What is the name of the Prague-based media group that publishes printed and internet media?,Mafra
3484,How many caps did he win?,14
3485,Where is the headquarters for Tamares Real Estate Investments?,London
3486,Who is one of the first female dancers?,Nakajima Natsu
3487,What year did Mary Briscoe Baldwin die?,1877
3488,Who designed the The Camden Free Public Library Main Building?,Herbert D. Hale and Henry G. Morse
3489,What is the name of the railway station in Italy?,Desio</
3490,Which article specifically forces the Swiss military to perform a strict honor code?,Article 12
3491,What was Sophia McIlvaine Bledsoe Herrick's nationality?,American
3492,What was the name of the children's TV series that aimed at preschool aged children?,Let's Pretend
3493,Who was elected governor of Missouri in 1908?,Herbert S. Hadley
3494,When was the Edsby Castle built?,1872
3495,How tall is the the Keeten Mastgat?,"183 metres (6,096 ft)"
3496,How is the New Testament written in the Greek script?,"small, cursive Greek script"
3497,Where is the high school located?,204 Pleasant Street
3498,What sugar company is the largest sugar company in the United States?,Domino Foods
3499,What is a notable invention of the Frenchman Philip Moreau?,The pavilion
3500,What is the profession of Lynetta Gordon?,abusive birth mother
3501,The listed buildings consist of what?,"farmhouses, farm buildings, a house, a school, a former Women's Land Army hostel, and a church"
3502,How high is the Gige village?,2240
3503,How many goals did Kevin Taylor score in the League?,62
3504,"What was a ""load"" of a cartload also known as?","fother, and charrus"
3505,What did the English call the place after its founding?,Moorhead
3506,What is the political party affiliated with Barry Knight?,Republican
3507,When was the LORAN-C switchboard station closed?,"February 8, 2010"
3508,What was the name of the failed attempt to take power in Munich?,Beer Hall Putsch
3509,What is the population of the Mineiros municipality?,68154
3510,What is the name of the landmark house located at the northeast corner of Echo Lane and United States Route 63?,The Sherman Bates House
3511,Who wrote and directed the comedy film Frank and Fearless?,Leon Schuster and Gray Hofmeyr
3512,When was the World Umpires Association formed?,1970
3513,What theme park was the third to be completed?,Movie World Studios
3514,What was Beys' father's career?,printer
3515,What was the name of the demonstration?,Bondetåget
3516,When did the Ladies Open Hechingen take place?,1999
3517,On what date did Richard Vernon die?,"December 2, 2006"
3518,How many undergraduate programs are offered at Becker College?,more than 40
3519,What is Apaidia mesogona?,moth of the family Erebidae
3520,How many housing units were there in Knox County in 2010?,121
3521,The cultivation of the plant is important for its use in what?,paints and pigments.
3522,Which actress starred in the movie Millions?,Ramsey Nouah
3523,What does the tower of the old Muslim farmstead possibly have been used for?,St. Bartholomew
3524,Who is the main character of the story?,Helena
3525,How many saṃs of the Bengali word Salth are there?,6
3526,What's the name of the 1997 Hong Kong action movie?,Island of Greed
3527,What was the name of the original group that was a founding member of the Van Halen Experience Tour?,Celtic Thunder
3528,What was the name of the clamshell typeface phone?,Katana
3529,What organization governs the China national beach soccer team?,Football Association
3530,What was the name of the private yacht purchased by J. K. L. Ross?,Winchester
3531,What year was David C. Parkes born?,1973
3532,What park is a protected beach in Southern California?,Huntington State Beach
3533,Women's football team of Amsterdam is known as what?,Nederlands Instituut Lichamelijke Opvoedkunde Club
3534,Who signed an open letter with the name of a potential problem-free solution to AI?,"Stephen Hawking, Elon Musk, and dozens of artificial intelligence experts"
3535,What is the name of the Indian non-governmental organization that aids the development of the urban and rural poor in India?,Deepalaya
3536,What was the name of Live's last album?,Birds of Pray
3537,What coast of Western Australia is the species Aeginopsis laurentii found?,off the coast of
3538,What is the most common witch type?,White Witch
3539,How many angular spores do agaric fungi have?,6–10
3540,What was the name of the trip-hop band that group was formed underwater?,"Underwater was an Atlanta, GA based trip-hop band formed in 1996"
3541,What is the parking lot next to the airfield called?,Roborough Down
3542,For what organization did Vincenzo Vinciguerra belong to?,Avanguardia Nazionale
3543,Who was the son of Caelius Vibenna?,Etruscan Caile Vipina
3544,What is the population of the city?,2468
3545,What was the name of the railway that connected Newport to the rest of Wales?,the Brecon and Merthyr Tydfil Junction Railway
3546,What type of transporter is involved in maintaining glucose homeostasis?,facilitative glucose transporter
3547,Who wrote an album called Anima latina?,Lucio Battisti
3548,What was the 2015 FIBA Europe Under-16 Championship for Women Division C?,the 11th edition
3549,What is the name of the condition that involves the ability to touch the tip of the nose with the tongue?,Gorlin sign
3550,What is the name of the main hub for Qantas and Virgin Australia commuter airlines?,"Innisfail Airport (IATA: IFL, I"
3551,"What was the name of the first self-proclaimed ""civil engineer""?",John Smeaton
3552,Who is responsible for combating offences in India?,The Economic Intelligence Council
3553,What year was Pennywise released?,2018
3554,Which city did the first of the three tours visit?,Chicago
3555,What is the name of the fourth album by California band Rebelution?,Count Me In
3556,What is the population of Calcium in 2016?,21</
3557,Where did the men's 100 metre event take place?,"Glasgow, Scotland"
3558,Where is Timiskaming.Témiscaming located?,the south end of Lac Témiscamingue
3559,Who won the 2013 World Touring Car Championship?,Carlos Manzon
3560,What was the name of the women's freestyle?,72 kg wrestling
3561,Who designed the Hotel Boville?,Charles Louis Girault and Jules Chifflot León
3562,Who directed the film Maamui?,Ali Shifau
3563,When were Israel-Kenya relations established?,December 1963
3564,When was 'Lay of the Land' published?,2006
3565,Where did Daniel Samper Ospina study?,Pontifical Xavierian University
3566,What is the name of the open-source project that brings security and development expertise to mobile development?,Red Hat
3567,"Who wrote the script for 'Come, wear the garland'?",Venniradai Moorthy
3568,What kind of school is Trinity Academy?,non-selective co-educational secondary school
3569,Where is it found in the most places?,"Asia, Africa, and the Pacific."
3570,What nationality is Cedric Badjeck?,Cameroonian
3571,What is the name of the Ford song he signed to?,Average Joes Entertainment
3572,Who designed the Jardinette Apartments?,Richard Neutra
3573,What are the approximate distances to the far north of Saaremaa?,9 km
3574,What theory suggests that parties to a lawsuit can reduce scope of subsequent claims through direct estoppel?,The DSR's definition of direct estoppel
3575,What is the name of the movie that Wolf wrote and directed?,Forever My Girl
3576,"Who created the stock character ""Rin Rin the tadpole""?",Rafael Pombo
3577,What is WaveguideAn a physical structure for?,guiding sound waves
3578,What town did Stephanie Ann Edwards attend?,Fredericksburg
3579,Where is the CDP of Havana located?,"Hidalgo County, Texas"
3580,What was the defense witness in the trial of poet Malay Roy Choudhury?,"Sunil Gangopadhyay, Tarun Sanyal and Satrajit Datta"
3581,What was the name of Killer's third album?,The Circle
3582,What is the name of the 1993 documentary by Allie Light?,Dialogues with Madwomen
3583,What was the name of the collapsed vale pitch that caused the loss of two players from Stoke's football team?,Butler Street
3584,When was the Knowledge Park II opened?,25 January 2019
3585,Where is the main office of Camnet Internet Service?,Phnom Penh.
3586,How many people left the area for Tasmania in 2016?,291
3587,When did he win the Chess World Cup?,2009
3588,What is the main function of ADP-D-glycero-beta-D-manno-heptose,involved in biosynthesis of ADP-L-glycero-beta-D-manno-heptose
3589,What is Namibia's first president?,Goodluck Jonathan
3590,What is the square inches of a basal area?,144 sq inches
3591,What is the youngest of the Faroese runestones?,The Fámjin stone
3592,What was the name of the other single from the album?,What's a Memory Like You
3593,What New York film was made about a passenger on a train that had to be assassinated?,Mystery Junction
3594,How many students currently attend Government High School Jhelum?,17000
3595,Who placed the species Calathusa on the Erebidae?,Francis Walker
3596,What is the population of the district headquarter of Okhaldhunga?,27995
3597,Who was the producer of The Melody of Love?,Charles Mintz
3598,When was the book published in hardback format in Australia?,2008
3599,What Google employee founded Chronicle Security?,Stephen Gillett
3600,What subtropical waters does Merluccius senegalensis hake occur off?,the sub tropical waters of the eastern Atlantic Ocean
3601,When did Raja Ram Singh win his second Best Director nomination?,1998
3602,What is the name of the first woman to host a call-in sport on WFAN-New York?,Ann Liguori
3603,What is the name of the road that runs from PTH 75 near Emerson to PTH 32 near Reinland?,Provincial Road 243
3604,When was Eric Cardouza born?,1965
3605,What was the predecessor to the SWCW?,Greater London Collegiate Wrestling (GLE)
3606,Who was the Governor of Wisconsin in 1848?,Nelson Dewey
3607,Which Republican was a subject of ethics investigations in 2014?,Paul Eric Turner
3608,What was Charles Matthews Mackall's date of death?,"December 24, 1991"
3609,In what city did Joost van Egmont complete his education?,Antwerp
3610,What position does Philippe Lamberts hold with the European Parliament?,member of the European Parliament
3611,Under what government does the census work?,Ministry of Home Affairs (India)
3612,Which Van Halen album was released in 2011?,Desperately Seeking Susan
3613,What is the size of a C. tetani spore?,2.5 μm
3614,Who did Pratiksha Apurv help get her start in art?,her uncle Osho
3615,What is the name of the software that was developed by Facebook along with open source contributors?,Facebook Infer
3616,What was the name of the third railway catapult?,Imperial Silver Dart
3617,What is the name of the largest company in the biotechnology industry?,Abgent
3618,The conspicuous elongation of Christ's wrists is how was explained away?,the ineptness of an assistant
3619,What type of soil does the Streptomyces have been found in?,ultramafic
3620,Who was elected Governor of Alabama in 2010?,Bob Riley
3621,What percentage of the vote did the parliamentary elections take place in?,53.2%
3622,What was the name of the original host?,Kirstie Alley
3623,Where did the 2016 Neva Cup take place?,"Saint Petersburg, Russia"
3624,What position in the French Navy did Admiral Alain Oudot de Dainville hold?,Chief of Staff
3625,What is the name of the famous frozen yogurt chain?,Menchie's Frozen Yogurt
3626,How long did Václav Švankmajer work on the animated film Torchbearer?,5 years
3627,Who was the manager of the Allegheny Athletic Association in 1892?,Thompson
3628,"What is the name of the only subspecies of a species of butterfly found in the Neotropical realm, found in the Irian Islands, Asia, and Australia ?",Protographium
3629,Who directed the film?,Giacomo Gentilomo
3630,What does the work she does as a filmmaker represent?,paint-on-glass technique
3631,What nationality was Emy Fick?,Swedish
3632,What was the occupation of Lakshman Chandra Seth?,Indian politician
3633,What was the most devastating flood that took place along the Red River?,1826 Red River Flood
3634,How does the LVCC rank among all private schools in the Philippines?,first
3635,What is the main tool used by central banks to influence the money market?,forward guidance
3636,What is a very common cause of night sweats?,the hormonal changes related to menopause and perimenopause
3637,What was James's nationality?,Hungarian
3638,What is the name of the largest airport in Romania?,Arad International Airport
3639,Where is the iris weevil commonly found?,North America
3640,Who did Brianti partner with for the first time?,Akgul Amanmuradova
3641,What does the Domesday Book record of the population of Hoo?,7356
3642,What job does Sarah Jane Brett have?,Radio presenter
3643,Which Czech woman won the 2020 Czech Women's Curling Championship?,Anna Kubešková
3644,What year was Masi named the 2011 Six Nations Player of the Championship?,2011
3645,What was the name of Deele's second album?,Bootleg
3646,What was the name of the first medical school in Australia?,University of Melbourne School of Medicine
3647,What was Niranjana's occupation?,playwright
3648,"What position did May 24, 1884 hold?",Grand or Imperial Kaliff
3649,What year was The Beatles' biography published?,2005
3650,What is the name of the government body that oversees the issuance of stamps in Tuvalu?,The Tuvalu Philatelic Bureau
3651,What was Doge of the Republic of Genoa under?,the First French Empire
3652,What is the name of the annual awards given to the Australian book sellers?,the Nielsen BookData Booksellers Choice Award
3653,What is the only group that is still in existence?,Canal Pomatidae
3654,The Netherlands' most extensive railway network is known as what?,the Westtak Ringspoorbaan
3655,What is the study of real numbers related to?,semialgebraic geometry
3656,What was the commissioner of the Euroleague regarding the dispute?,Tony Walker
3657,What city is Jonas Petter Berggren from?,Gothenburg
3658,What is the designation of a seagull intersection?,T-intersection
3659,What is the name of the rail line that runs between Mountain View and Alum Rock stations?,The Orange Line
3660,When did Bauer Media announce the shut down of the print magazine?,November 2015
3661,Who wrote the novel The Hardy Boys Mystery Stories?,Andrew E. Svenson
3662,What is the name of the New York City-based cultural association?,The Alliance for the Arts
3663,What is the flowering plant in the genus Vangueria burnettii endemic to?,southern Tanzania and Zambia
3664,How many communes does the canton of Tarare consist of?,2
3665,What was the name of the third album by the American pop group the Association?,Insight Out
3666,What is the name of the filmmaking company founded by Philip Anschutz?,Walden Media
3667,What political party does Richard Phillip Edmonds Jr. belong to?,Republican
3668,How many days a year do people need to submit a return for non-person visitors?,"$100,000"
3669,What is the name of the English first crossover singer-songwriter?,Mary-Jess Leaverland
3670,What league does Al-Ahli play?,Bahraini Premier League
3671,"What type of glass is inexpensive, and yet contains a high surface area?",Crown glass
3672,How many times has ŠK Slovan Bratislava won the league for women's football?,14
3673,In what city are the Halifax Bruising Banditas based?,Halifax
3674,Who was Wentworth's opponent in the 1857 election?,Democrat Benjamin F. Carver
3675,What was the name of the private school that catered to students with ADHD?,Woodland Hall Academy
3676,When did Mark French win his first Mr. Universe title?,2003
3677,What is the name of the website that focus on the recipes?,Foodista.com
3678,What is the other name for Baney?,Santiago de Baney
3679,What was the nickname of Henry Thomas?,Ragtime Texas
3680,What is necessary to produce a Newton method?,the Jacobian or Hessian
3681,The Amulet of Samarkand has a form of what artifact?,magical artifact
3682,What is the name of the landmark intersection house?,Northgate House
3683,How many people competed in the Munich event?,3
3684,How many terms was Thomas Greenhill in office?,two terms
3685,How many league championships did Bradford win as a player?,14
3686,What position did Grant Phillip Dibden hold before becoming Bishop?,Chaplain to the Governor of the Northern Territory
3687,Where is there a good quality of sea cliff climbing?,Pembrokeshire
3688,What was the name of the documentary that won the award for best children's franchise at the Chicago International Children's Film Festival?,The Daughter of the Elephant Whisperer
3689,How many inhabitants lived in the former Borne Sulinowo municipality?,4224
3690,When was the Hoedun Line electrified?,1948
